ID,Class,PC1,PC2,PC3,PC4,PC5
329,Low,0.099518,-1.498998,-0.661725,-1.124175,0.120067
330,Low,0.469888,-1.190504,-0.735145,-1.407196,-1.873713
331,Low,0.581787,-1.523045,-1.008980,-1.014910,-0.644253
332,Low,0.107398,0.587151,0.649905,0.667763,-2.301596
333,Low,0.343804,-0.253878,-1.857273,-1.127906,0.223368
334,High,-2.496750,1.163671,1.326555,1.525355,0.864629
335,Low,0.201960,-1.711308,-0.544651,-0.587446,-0.710863
336,Medium,-3.106153,0.709141,0.135968,1.767336,0.194579
337,Medium,-0.147396,-0.227486,1.413865,1.098957,-0.573127
338,Low,0.506137,-0.245667,-0.555565,-1.441841,0.528193
339,Medium,0.630644,0.262234,0.894967,0.619793,1.338237
340,High,-2.536151,1.044614,1.385092,1.527487,0.905273
341,Low,0.143121,0.052271,-0.390867,-1.071941,-1.828553
342,Low,0.861797,0.128514,0.566564,0.011643,0.603270
343,Low,0.985779,0.794768,1.051728,0.843652,0.061924
344,Medium,-0.001875,0.061068,0.317533,1.283907,0.172000
345,High,-2.156850,0.854590,0.244113,1.311623,0.462712
346,Medium,-0.598669,0.488034,0.230223,-0.724960,1.416701
347,Low,-0.028142,-1.450320,-0.917702,-1.405064,-0.034039
348,High,-1.837964,1.116166,1.068595,1.123475,1.352349
349,Medium,0.739916,0.073971,0.747136,-0.019271,0.871403
350,High,-2.984273,1.082736,0.841391,1.236471,1.242273
351,Medium,0.467261,0.810604,0.354242,0.087861,1.097764
352,High,0.804009,0.797701,0.571525,0.498269,1.797732
353,High,-2.622308,1.226426,1.172771,1.445406,1.198807
354,Low,0.675824,0.020014,-1.465372,-1.568162,0.133614
355,Medium,-0.471535,0.603572,1.523994,1.071775,0.375781
356,Low,-0.071220,-0.352995,-1.473309,0.170476,-0.389668
357,Medium,0.595446,1.002386,0.427662,0.936393,-1.295675
358,Low,0.399491,-0.745357,-1.603281,-0.343334,-0.025572
359,Low,-0.441590,-1.917753,0.250066,0.208319,-1.349301
360,Medium,0.434164,0.787144,-0.442459,0.472152,0.026926
361,Medium,1.003641,0.977754,0.616172,0.215781,1.243402
362,Medium,0.014937,-0.111947,0.328446,0.661900,0.661977
363,Medium,0.773013,0.564277,0.690583,0.299461,1.185824
364,Medium,-1.409281,0.636416,1.033869,1.181572,0.638269
365,Medium,0.218246,-0.663835,0.186568,-0.629553,1.101715
366,Medium,0.391611,-0.109601,-0.062463,-0.661000,1.312270
367,Low,-1.892600,0.184231,-0.003926,1.364390,-0.809649
368,Low,0.305454,-0.589351,-0.574416,-1.527121,-0.876823
369,Low,0.683704,-0.006965,-0.110087,-0.047520,1.379444
370,Medium,1.048295,0.867493,1.136061,1.101622,-0.409425
371,Low,0.265527,-0.510761,-0.149773,-0.933895,-1.848875
